year,quarter,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,nsmiles,fare,Geocoded_City1,Geocoded_City2,tbl1apk,period
2025,2,31057,32457,"Charlotte, NC","San Francisco, CA (Metropolitan Area)",11057,14771,CLT,SFO,2296,417.87,"35.226482442217936, -80.82749079551755","37.71088023891693, -122.08942035984728",202411105714771CLTSFO,Post-Pandemic
2025,2,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",10154,12197,ACK,HPN,218,164.61,"41.28761235505875, -70.07482034874342","40.722551776084316, -73.97924863938653",202331015412197ACKHPN,Post-Pandemic
2025,2,33044,30852,"Louisville, KY","Washington, DC (Metropolitan Area)",14730,11278,SDF,DCA,495,196.28,"38.24602088207979, -85.777273302663","39.06854619558678, -77.28209870558013",202411473011278SDFDCA,Post-Pandemic
2025,2,33495,33195,"New Orleans, LA","Tampa, FL (Metropolitan Area)",13495,15304,MSY,TPA,488,149.15,"29.968452489061857, -90.10275784325407","28.042586526893363, -82.48802351156911",202411349515304MSYTPA,Post-Pandemic
2025,2,31453,33667,"Houston, TX","Norfolk, VA (Metropolitan Area)",12191,14098,HOU,PHF,1209,485.07,"29.75402924471362, -95.25854681876497","36.8740444347547, -76.21004560086016",202411219114098HOUPHF,Post-Pandemic
2025,2,32441,31703,"Jackson, WY","New York City, NY (Metropolitan Area)",12441,12197,JAC,HPN,1894,553.95,"43.47596749263129, -110.76284823540627","40.722551776084316, -73.97924863938653",202411244112197JACHPN,Post-Pandemic
2025,2,34262,32457,"Palm Springs, CA","San Francisco, CA (Metropolitan Area)",14262,14831,PSP,SJC,421,125.5,"33.83638124392223, -116.53739400482371","37.71088023891693, -122.08942035984728",202411426214831PSPSJC,Post-Pandemic
2025,2,32467,35249,"Miami, FL (Metropolitan Area)","Tallahassee, FL",11697,15249,FLL,TLH,402,110.9,"25.818657926992138, -80.30089992008288","30.45090976227006, -84.28419851694606",202411169715249FLLTLH,Post-Pandemic
2025,2,30977,34653,"Chicago, IL","Tulsa, OK",13232,15370,MDW,TUL,585,161.24,"41.87456337224408, -87.6626642168663","36.147160485962644, -95.98809120795705",202341323215370MDWTUL,Post-Pandemic
2025,2,32575,33264,"Los Angeles, CA (Metropolitan Area)","Medford, OR",10800,13264,BUR,MFR,659,77.59,"33.79226917070069, -118.204909485967","42.33575250170144, -122.85585253440821",202411080013264BURMFR,Post-Pandemic
2025,2,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",11066,12953,CMH,LGA,519,185.88,"39.97936225013163, -83.00459328425883","40.722551776084316, -73.97924863938653",202411106612953CMHLGA,Post-Pandemic
2025,2,34524,32457,"Richmond, VA","San Francisco, CA (Metropolitan Area)",14524,13796,RIC,OAK,2449,310.16,"37.531327544259966, -77.47133072018607","37.71088023891693, -122.08942035984728",202341452413796RICOAK,Post-Pandemic
2025,2,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",15412,12953,TYS,LGA,665,301.99,"35.966030866156146, -83.955441734572","40.722551776084316, -73.97924863938653",202411541212953TYSLGA,Post-Pandemic
2025,2,32575,32457,"Los Angeles, CA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",13891,14831,ONT,SJC,372,160.47,"33.79226917070069, -118.204909485967","37.71088023891693, -122.08942035984728",202411389114831ONTSJC,Post-Pandemic
